nombre_en_fuente,orcid,veredicto,detalle,dois_atribuidos,dois_en_registro,dois_coincidentes,afiliacion_institucional_declarada,afiliaciones_declaradas
Rufin-Larraín A.,0009-0006-7284-7026,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,1,1,True,Universidad Finis Terrae
Rugeles F.L.,0000-0001-5086-2192,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,2,1,True,Universidad Finis Terrae
Ruiz-Riquelme P.,0000-0002-3293-8189,confirmada,5 de 5 DOI atribuidos aparecen en el registro del titular,5,16,5,False,Clínica Las Condes
Salas N.,0000-0001-8815-5979,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,7,1,True,Finis Terrae University | Universidad Autonoma de Chile | Universidad Diego Portales
San Martín T.,0000-0003-3134-2305,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,3,1,False,Clinica Santa Maria | Hospital Clínico Félix Bulnes
Sanchez-Duque C.G.,0009-0000-9651-2841,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,6,1,True,Pontificia Universidad Católica de Chile | Universidad Finis Terrae | Colegio Santa Teresa de Jesús de los Andes | Compañia Perrobufo
Santibáñez D.,0000-0001-7840-9138,confirmada,3 de 5 DOI atribuidos aparecen en el registro del titular,5,16,3,False,
Santos M.,0000-0002-2658-3764,confirmada,1 de 2 DOI atribuidos aparecen en el registro del titular,2,31,1,True,"Instituto Nacional de Ciência e Tecnologia em Democracia Digital | Millennium Nucleus for the Study of Media, Public Opinion and Politics in Chile | Universidad Diego Portales | Universidad Finis Terrae"
Silva-Figueroa A.M.,0000-0002-4992-7072,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,33,1,True,"Universidad de Chile | Hospital Barros Luco Trudeau | Universidad Finis Terrae | RedSalud - Clinica Avansalud | University of Texas MD Anderson Cancer Center | Servicio Salud Ñuble, EDF"
Simón L.,0000-0002-0130-3519,confirmada,9 de 12 DOI atribuidos aparecen en el registro del titular,12,23,9,True,Universidad Finis Terrae | Comisión Nacional de Investigación Científica y Tecnológica Fondo Nacional de Desarrollo Científico y Tecnológico | CONICET Mendoza
Strauss F.-J.,0000-0002-5832-7327,confirmada,2 de 2 DOI atribuidos aparecen en el registro del titular,2,112,2,False,The University of Sydney | University of Zurich | Universität Zürich | Universidad de Chile Facultad de Odontología | Medical University of Vienna | San Camilo´ Hospital
Strauss F.J.,0000-0002-5832-7327,confirmada,9 de 14 DOI atribuidos aparecen en el registro del titular,14,112,9,False,The University of Sydney | University of Zurich | Universität Zürich | Universidad de Chile Facultad de Odontología | Medical University of Vienna | San Camilo´ Hospital
Stöwhas K.,0009-0005-9291-3062,confirmada,2 de 2 DOI atribuidos aparecen en el registro del titular,2,2,2,True,Finis Terrae University
Tabilo-Prieto I.,0000-0002-7501-5085,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,6,1,True,Universidad Finis Terrae | Universidad Alberto Hurtado
Tapia V.,0009-0008-8319-3683,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,1,1,False,
Tapia-Castillo A.,0000-0002-6081-1468,confirmada,1 de 1 DOI atribuidos aparecen en el registro del titular,1,35,1,True,Pontificia Universidad Catolica de Chile Escuela de Medicina | Universidad Finis Terrae
