firma,orcid,eid,doi,match,fecha_consulta
Marín G.J.,0000-0003-2961-6469,2-s2.0-85145697726,10.1016/j.cub.2022.10.070,apellido+inicial,2026-08-27
Castro M.,0000-0002-5482-4676,2-s2.0-85145743670,10.1016/j.spinee.2022.12.002,apellido+inicial,2026-08-27
Montalva-Valenzuela F.,0000-0003-0004-3089,2-s2.0-85145969065,10.3390/ijerph20010209,apellido+inicial,2026-08-27
Fernández-Verdejo R.,0000-0002-5948-2281,2-s2.0-85146176572,10.1017/S0007114523000028,apellido+inicial,2026-08-27
Simón L.,0000-0002-0130-3519,2-s2.0-85146756475,10.3390/antiox12010126,apellido+inicial,2026-08-27
Angulo J.,0000-0002-0471-4751,2-s2.0-85147045247,10.3390/v15010008,apellido+inicial,2026-08-27
Mujika I.,0000-0002-8143-9132,2-s2.0-85147620671,10.14814/phy2.15593,apellido+inicial,2026-08-27
Ruiz-Riquelme P.,0000-0002-3293-8189,2-s2.0-85148039285,10.1007/s00167-023-07323-0,apellido+inicial,2026-08-27
Farsani D.,0000-0002-9412-3161,2-s2.0-85148858002,10.3390/axioms12020119,apellido+inicial,2026-08-27
Carvajal C.,0000-0002-1712-7396,2-s2.0-85148890400,10.32641/andespediatr.v94i1.4273,apellido+inicial,2026-08-27
Mujika I.,0000-0002-8143-9132,2-s2.0-85149175638,10.1123/ijspp.2022-0323,apellido+inicial,2026-08-27
Mujika I.,0000-0002-8143-9132,2-s2.0-85149541629,10.1080/14763141.2023.2184418,apellido+inicial,2026-08-27
Moya P.,0000-0002-8442-2571,2-s2.0-85149674498,10.1186/s12903-023-02778-6,apellido+inicial,2026-08-27
Elorrieta V.,0009-0008-1470-4670,2-s2.0-85149813674,10.1016/j.urology.2023.01.042,apellido+inicial,2026-08-27
Salvadó J.A.,0000-0001-7354-3012,2-s2.0-85149813674,10.1016/j.urology.2023.01.042,apellido+inicial,2026-08-27
Farsani D.,0000-0002-9412-3161,2-s2.0-85150284848,10.29333/ejmste/12977,apellido+inicial,2026-08-27
Diaz F.,0000-0003-4763-074X,2-s2.0-85150396941,10.1164/rccm.202207-1360LE,apellido+inicial,2026-08-27
Zbinden-Foncea H.,0000-0002-9643-1037,2-s2.0-85151108437,10.3390/nu15061365,apellido+inicial,2026-08-27
Hevia-Larraín V.,0000-0002-3019-4462,2-s2.0-85151108437,10.3390/nu15061365,apellido+inicial,2026-08-27
Zambrano C.,0000-0002-9538-1816,2-s2.0-85151137553,10.33423/jhetp.v23i3.5849,apellido+inicial,2026-08-27
Mariotti-Celis M.S.,0000-0003-1357-812X,2-s2.0-85151440933,10.1016/j.lwt.2023.114676,apellido+inicial,2026-08-27
Rego T.,0000-0003-2271-4568,2-s2.0-85152245530,10.5209/ashf.79642,apellido+inicial,2026-08-27
Duarte L.,0000-0001-8893-4569,2-s2.0-85152341006,10.3390/nu15071707,apellido+inicial,2026-08-27
Hayes-Ortiz T.,0009-0006-8457-5435,2-s2.0-85153297071,10.1080/17461391.2023.2193944,apellido+inicial,2026-08-27
Fernández-Verdejo R.,0000-0002-5948-2281,2-s2.0-85153297071,10.1080/17461391.2023.2193944,apellido+inicial,2026-08-27
Lorca-Ponce E.,0000-0003-1881-2798,2-s2.0-85153612820,10.1111/ejn.15986,apellido+inicial,2026-08-27
Chavez-Reyes A.,0000-0002-6655-815X,2-s2.0-85153785558,10.3390/ncrna9020021,apellido+inicial,2026-08-27
Hidalgo-Rosa Y.,0000-0002-1391-435X,2-s2.0-85154057614,10.1016/j.jlumin.2023.119896,apellido+inicial,2026-08-27
Castro-Sepulveda M.,0000-0002-2270-299X,2-s2.0-85154572388,10.2174/0929867329666221007115809,apellido+inicial,2026-08-27
Carvajal G.,0000-0002-5283-2672,2-s2.0-85158815783,10.3828/BHS.2023.30,apellido+inicial,2026-08-27
Castro-Sepulveda M.,0000-0002-2270-299X,2-s2.0-85158828554,10.1016/j.metabol.2023.155578,apellido+inicial,2026-08-27
Diaz F.,0000-0003-4763-074X,2-s2.0-85159734220,10.1164/rccm.202303-0364LE,apellido+inicial,2026-08-27
Yanine F.F.,0000-0003-1086-0840,2-s2.0-85159961359,10.3389/fenrg.2023.1195418,apellido+inicial,2026-08-27
Yanine F.,0000-0003-1086-0840,2-s2.0-85160012697,10.1109/ICEES57979.2023.10110144,apellido+inicial,2026-08-27
Casas-Cordero J.P.,0000-0001-9893-022X,2-s2.0-85160233146,10.1007/s43465-023-00906-6,apellido+inicial,2026-08-27
