nombre_en_fuente,orcid,veredicto,detalle,dois_atribuidos,dois_en_registro,dois_coincidentes,afiliacion_institucional_declarada,afiliaciones_declaradas,fecha_consulta,tipo,severidad,consecuencia,resolucion
Gómez G.G.,0000-0001-5193-2738,sin_coincidencia,el titular declara 3 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,3,0,False,Municipio de Itaguí,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Huepe-Artigas D.,0000-0002-1258-5670,sin_coincidencia,el titular declara 2 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,2,0,False,,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Ishtiaque T.A.,0000-0002-3041-9748,sin_coincidencia,el titular declara 5 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,5,0,False,Norwegian University of Science and Technology,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Johansen A.,0000-0003-0063-3679,sin_coincidencia,el titular declara 42 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,42,0,False,,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Landskron G.,0000-0002-7953-6769,sin_coincidencia,el titular declara 16 obras con DOI y ninguna coincide con las atribuidas a esta firma,7,16,0,True,Universidad de Chile | Universidad Finis Terrae | Clínica Las Condes | University of Chile | Hospital Clínico de la Universidad de Chile,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
López V.,0000-0003-1323-7843,sin_coincidencia,el titular declara 3 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,3,0,True,Hospital Clínico de la Universidad de Chile | Hospital de urgencias asistencia pública | Universidad Finis Terrae | Hospital de urgencias  asistencia pública,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
López-Soto P.,0000-0003-2559-6464,sin_coincidencia,el titular declara 3 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,3,0,True,Universidad Finis Terrae | Pontificia Universidad Católica de Chile | Ufficio delle celebrazioni liturgiche del sommo pontefice | Ospedale di Circolo e Fondazione Macchi | Colegio San Agustín,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Macho R.A.M.,0000-0001-7592-1136,sin_coincidencia,el titular declara 3 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,3,0,False,,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Martinez-Mardones M.,0000-0003-3296-3330,sin_coincidencia,el titular declara 7 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,7,0,False,,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Martinez-Mardones M.B.,0000-0003-3296-3330,sin_coincidencia,el titular declara 7 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,7,0,False,,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
Martínez-Mardones M.B.,0000-0003-3296-3330,sin_coincidencia,el titular declara 7 obras con DOI y ninguna coincide con las atribuidas a esta firma,1,7,0,False,,2026-09-01,V2-01_asignacion_orcid_no_verificada,alta,la asignación firma→ORCID no se confirma en el registro,PENDIENTE_REVISION_HUMANA
