forma_de_firma,scopus_author_ids,n_scopus_ids,orcid_master,orcid_detallado,orcid_fuente,orcid_confianza,n_publicaciones,unidades,n_unidades,confianza_max,identidad_grupo,identidad_origen
Benites M.H.,56204920800,1,,0000-0001-6366-534X,ORCID (declarado por el titular),alta,5,Facultad de Medicina y Salud,1,alta,,
Cancino J.,36996964200|57607000000,2,,0000-0002-1956-7600,Crossref,media,5,Escuela de Kinesiología|Facultad de Medicina y Salud,2,alta,,
Torres K.,57224867683|60596438800,2,,0000-0001-7638-6438,Crossref,alta,5,Escuela de Nutrición y Dietética,1,alta,,
Rojas-Costa G.M.,58805405100|7004503519,2,,0000-0002-6228-2678,Crossref,alta,5,Facultad de Medicina y Salud,1,alta,,
Carvajal C.,53163308500,1,,0000-0002-1712-7396,ORCID (declarado por el titular),alta,5,Facultad de Medicina y Salud,1,alta,,
Hartmann Schatloff D.,58612624500|59093175300,2,,0000-0002-7140-4294,Crossref,media,5,Facultad de Medicina y Salud,1,alta,Hartmann D.,humana
Hidalgo-Rosa Y.,57210552565,1,,0000-0002-1391-435X,ORCID (declarado por el titular),alta,5,Facultad de Ingeniería,1,alta,,
Etchegaray-Armijo K.,57344834900,1,,0000-0002-8536-3729,Crossref,media,5,Facultad de Medicina y Salud,1,alta,,
Balboa E.,35423451700,1,,0000-0002-8757-436X,Crossref,media,5,Facultad de Medicina y Salud,1,alta,,
Castro M.,22233746200|56076763200|7402292686,3,,0000-0002-2270-299X,Crossref,media,5,Facultad de Medicina y Salud,1,alta,Castro-Sepúlveda M.,humana
Rego T.,58179849100,1,,0000-0003-2271-4568,Crossref,alta,5,No determinada,0,alta,,
Paredes R.,13607125500,1,,0000-0002-9943-2510,Crossref,alta,5,Facultad de Ingeniería,1,alta,,
Murray N.P.,24401869300,1,,0000-0001-8154-8550,Crossref,alta,5,Facultad de Medicina y Salud,1,alta,,
Santibáñez D.,57194413591,1,,0000-0001-7840-9138,Crossref,alta,5,Facultad de Educación y Ciencias Sociales,1,alta,,
Henríquez-Olguín C.,35102305800,1,,0000-0002-9315-9365,Crossref,alta,5,Facultad de Medicina y Salud,1,alta,Henríquez-Olguín C.,ortografica
Ruiz-Riquelme P.,58070104900,1,,0000-0002-3293-8189,Crossref,alta,5,Facultad de Medicina y Salud,1,alta,Ruiz-Riquelme P.,humana
Zambrano C.,54404332000,1,,0000-0002-9538-1816,Crossref,media,4,Facultad de Ingeniería,1,alta,,
Casals M.,57205661748,1,,0000-0001-6746-4473,Crossref,alta,4,No determinada,0,alta,,
González A.,56586062200|59249254000,2,,0000-0002-6139-4299,OpenAlex,alta,4,Facultad de Medicina y Salud,1,alta,,
Carvajal G.,57219929230,1,,0000-0002-5283-2672,ORCID (declarado por el titular),media,4,No determinada,0,alta,,
Cortina A.H.,51461053900,1,,0000-0003-3091-5386,OpenAlex,alta,4,Facultad de Medicina y Salud,1,alta,,
Tiscornia C.,58290236200,1,,0000-0002-0138-083X,ORCID (declarado por el titular),alta,4,Escuela de Nutrición y Dietética|Facultad de Medicina y Salud,2,alta,,
Castillo-Valenzuela O.,7007101727,1,,0000-0002-4411-8655,Crossref,alta,4,Escuela de Nutrición y Dietética|Facultad de Medicina y Salud,2,alta,Castillo-Valenzuela O.,humana
Molina M.,55764694200,1,,0000-0002-7091-2633,Crossref,media,4,No determinada,0,alta,,
Tuñón-Suárez M.,57222561030,1,,0000-0002-3085-9057,Crossref,media,4,Facultad de Medicina y Salud,1,alta,,
Vasquez F.,24400395100,1,,0000-0003-1769-3969,Crossref,media,4,Escuela de Nutrición y Dietética,1,alta,,
Henriquez-Olguín C.,35102305800,1,,0000-0002-9315-9365,Crossref,alta,4,Facultad de Medicina y Salud,1,alta,Henríquez-Olguín C.,ortografica
Montero V.,57214681999,1,,0000-0003-4368-2868,Crossref,alta,4,No determinada,0,alta,,
Morales J.-P.,,0,,0000-0002-7304-5256,Crossref,media,4,Facultad de Educación y Ciencias Sociales,1,alta,,
Orellana Donoso M.,57219486372,1,,0000-0002-1781-062X,Crossref,media,4,Facultad de Medicina y Salud,1,alta,Orellana-Donoso M.,humana
Gubbins V.,57188672913,1,,0000-0003-2175-2941,Crossref,alta,4,Facultad de Educación y Ciencias Sociales,1,alta,Gubbins V.,humana
Arroyo A.,58862866100,1,,0000-0003-0157-5175,OpenAlex,alta,4,Facultad de Medicina y Salud,1,alta,,
Cancino-Lopez J.,36996964200,1,,0000-0003-3620-9861,Crossref,media,4,Escuela de Kinesiología|Facultad de Medicina y Salud,2,alta,Cancino-López J.,humana
Castiglioni C.,20336835900,1,,0000-0002-1981-7550,Crossref,alta,3,Facultad de Medicina y Salud,1,alta,,
Lorca-Ponce E.,57199149969,1,,0000-0003-1881-2798,Crossref,alta,3,Escuela de Enfermería|Facultad de Medicina y Salud,2,alta,,
Carriel-Nesvara A.,59188418500,1,,0009-0002-0205-4478,Crossref,alta,3,Facultad de Medicina y Salud,1,alta,,
Muszalski H.,57223206591,1,,0000-0001-7031-6957,Crossref,media,3,No determinada,0,alta,,
Dávila C.M.,57201182805,1,,0000-0002-6357-3469,OpenAlex,alta,3,No determinada,0,alta,,
Rojas D.,57196001996|60585234300,2,,0000-0002-1675-2958,Crossref,media,3,No determinada,0,alta,,
Lang M.,56729898100,1,,0000-0002-8465-5471,ORCID (declarado por el titular),alta,3,Escuela de Kinesiología|Facultad de Medicina y Salud,2,alta,,
Mansilla-Obando K.,57239930100,1,,0000-0003-4273-4259,Crossref,alta,3,Facultad de Economía y Negocios,1,alta,,
Marín G.J.,7202560418,1,,0000-0003-2961-6469,Crossref,alta,3,Facultad de Medicina y Salud,1,alta,,
Moyano Dávila C.,57201182805,1,,0000-0002-6357-3469,Crossref,alta,3,Escuela de Ciencias de la Familia,1,alta,Moyano Dávila C.,humana
Moya P.,57767862900|60235456000,2,,0000-0002-8442-2571,Crossref,media,3,Facultad de Medicina y Salud,1,alta,,
Pastén-Henríquez B.,57983487700,1,,,,,3,Facultad de Economía y Negocios,1,alta,,
Vergara K.,59754587000,1,,,,,3,Facultad de Medicina y Salud,1,alta,,
Galleguillos R.,36025215000,1,,0000-0001-6065-5218,Crossref,alta,3,Facultad de Ingeniería,1,alta,Galleguillos R.,humana
Pino-Zúñiga J.,57209908331,1,,,,,3,Escuela de Kinesiología|Facultad de Medicina y Salud,2,alta,Pino-Zúñiga J.,humana
Rojas-Saffie J.P.,58142735700,1,,0000-0001-5269-0865,Crossref,media,3,Facultad de Educación y Ciencias Sociales,1,alta,,
Hasbun P.,22955162900,1,,,,,3,No determinada,0,alta,Hasbún P.,humana
Salas C.,57202021763,1,,0000-0002-9495-9866,OpenAlex,alta,3,Facultad de Medicina y Salud,1,alta,,
Santander A.S.,58993042300,1,,,,,3,No determinada,0,alta,,
Soto-Suazo M.,6602266289,1,,,,,3,Facultad de Medicina y Salud,1,alta,,
Valenzuela R.,16318014100|58862136700|59595360800,3,,0009-0007-8023-3400,ORCID (declarado por el titular),alta,3,Facultad de Medicina y Salud,1,alta,,
Guevara E.,57217022028,1,,0009-0000-1595-9044,Crossref,alta,3,Facultad de Economía y Negocios,1,alta,,
Kobayashi M.A.,7405532126,1,,0000-0002-6004-1301,OpenAlex,alta,3,Facultad de Artes,1,alta,,
Valdés C.Á.,60054146100,1,,0000-0003-0402-5072,OpenAlex,alta,3,Facultad de Educación y Ciencias Sociales,1,alta,,
Undurraga R.,55345490200,1,,0000-0001-5801-2125,ORCID (declarado por el titular),alta,3,Escuela de Ciencias de la Familia,1,alta,,
Vásquez F.,24400395100,1,,0000-0003-1769-3969,OpenAlex,alta,3,Escuela de Nutrición y Dietética|Facultad de Medicina y Salud,2,alta,,
Hernández L.T.,57220042775,1,,0000-0003-4666-2491,OpenAlex,alta,3,No determinada,0,alta,,
Contreras-Contreras G.,58508426800,1,,0009-0001-7376-4656,Crossref,media,3,Facultad de Medicina y Salud,1,alta,,
Gómez-Sotta E.,58804572000,1,,0009-0009-6090-0848,ORCID (declarado por el titular),alta,2,Facultad de Economía y Negocios,1,alta,,
De la Fuente M.,23090504600,1,,0000-0003-0577-7604,Crossref,media,2,Facultad de Medicina y Salud,1,alta,,
De la Fuente López M.,23090504600|60150573200,2,,,,,2,Facultad de Medicina y Salud,1,alta,,
Allende-Valenzuela T.,59321456000,1,,0009-0009-2334-0562,Crossref,alta,2,Facultad de Educación y Ciencias Sociales,1,alta,,
Loyola M.T.,55884631100,1,,0000-0002-2580-8271,ORCID (declarado por el titular),media,2,Facultad de Humanidades y Comunicaciones,1,alta,,
Hayes-Ortiz T.,58192471400,1,,0009-0006-8457-5435,ORCID (declarado por el titular),alta,2,Facultad de Medicina y Salud,1,alta,,
Hasbún P.,22955162900,1,,,,,2,Facultad de Medicina y Salud,1,alta,Hasbún P.,humana
Cid N.,59560442900,1,,,,,2,Facultad de Medicina y Salud,1,alta,,
Gálvez M.,24339987800,1,,0000-0002-8638-5268,Crossref,media,2,Facultad de Medicina y Salud,1,alta,,
Chavez-Reyes A.,7801313307,1,,0000-0002-6655-815X,ORCID (declarado por el titular),alta,2,No determinada,0,alta,,
Verschae G.,7801439873,1,,,,,2,Facultad de Medicina y Salud,1,alta,,
Gutiérrez-Pino J.,57216877387,1,,,,,2,Facultad de Medicina y Salud,1,alta,,
Gaete M.,8341795800,1,,0000-0003-1846-2417,Crossref,media,2,Facultad de Medicina y Salud,1,alta,,
Gutiérrez J.,57192703299|59221961900,2,,,,,2,Facultad de Medicina y Salud,1,alta,,
Vargas-Foitzick R.,57193330214,1,,0000-0003-4466-1276,ORCID (declarado por el titular),alta,2,Facultad de Medicina y Salud,1,alta,,
Ceron M.L.,57416791800,1,,0000-0001-8662-8189,ORCID (declarado por el titular),alta,2,Facultad de Ingeniería,1,alta,Cerón M.L.,humana
Cerda E.,59754320700,1,,,,,2,Facultad de Medicina y Salud,1,alta,,
Buchuk P.,58804802700,1,,0009-0009-8078-2738,Crossref,media,2,Facultad de Economía y Negocios,1,alta,,
Lopez-Arana S.,23089038400,1,,0000-0002-4312-1318,Crossref,media,2,Facultad de Medicina y Salud,1,alta,López-Arana S.,mixta
González-Valderrama A.,56586062200,1,,0000-0003-4716-4021,OpenAlex,alta,2,Facultad de Medicina y Salud,1,alta,González-Valderrama A.,ortografica
Muñoz-Medina C.,59959333800,1,,0009-0000-2165-0553,Crossref,alta,2,Facultad de Medicina y Salud,1,alta,,
García-Matte N.,59171253500,1,,0000-0001-8712-0408,ORCID (declarado por el titular),alta,2,Facultad de Educación y Ciencias Sociales,1,alta,,
Giglio Jimenez A.,58509256700,1,,0000-0002-0533-4531,Crossref,alta,2,No determinada,0,alta,Giglio Jiménez A.,humana
Larrañaga M.,58559429200,1,,0009-0006-2146-5677,Crossref,media,2,Facultad de Medicina y Salud,1,alta,,
